JOURNAL_TITLE,JOURNAL_SUBJECTS
Indonesian Journal of Sustainability Accounting and Management,"Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance"
Journal of Research and Advances in Mathematics Education,"Education, Mathematics"
Jurna lAntropologi Indonesia,Social Sciences
Media Penelitian dan Pengembangan Kesehatan,"Decision Sciences, Operations Research & Management , Public Health"
Jurnal Ilmu Komputer dan Informasi,Computer Science & IT
NADWA,Other
Jurnal The Messenger,
INDONESIAN JOURNAL OF URBAN AND ENVIRONMENTAL TECHNOLOGY,"Arts, Humanities, Computer Science & IT, Environmental Science"
Jurnal Pendidikan Biologi Indonesia,"Agriculture, Biological Sciences & Forestry"
Al-Jabar : Jurnal Pendidikan Matematika,"Education, Mathematics"
Jurnal Teknik Industri,Industrial & Manufacturing Engineering
Jurnal Elemen,Other
Buletin Palma,
Jurnal PIKOM (Penelitian Komunikasi dan Pembangunan),"Languange, Linguistic, Communication & Media, Social Sciences"
Jurnal Penyuluhan,"Agriculture, Biological Sciences & Forestry"
Journal of Indonesian Economy and Business,"Economics, Econometrics & Finance"
JURNAL PENDIDIKAN USIA DINI,Education
Kapata Arkeologi,"Arts, Humanities"
Register: Jurnal Ilmiah Teknologi Sistem Informasi,Computer Science & IT
Jurnal Studi Komunikasi,"Arts, Humanities, Languange, Linguistic, Communication & Media, Social Sciences"
Jurnal Jaffray,"Religion, Aerospace Engineering, Social Sciences"
Indonesian Journal on Computer and Cybernetics Systems,Computer Science & IT
Signifikan : Jurnal Ilmu Ekonomi,"Economics, Econometrics & Finance"
JEELS,"Education, Languange, Linguistic, Communication & Media"
Jurnal Penelitian Hukum De Jure,"Law, Crime, Criminology & Criminal Justice"
Buletin Psikologi,"Arts, Humanities, Social Sciences"
Jurnal Ketahanan Nasional,
Jurnal Infinity,Education
Jurnal Kajian Komunikasi,Library & Information Science
Jurnal Gizi Klinik Indonesia,Public Health
Indonesian Journal of Human Nutrition,Medicine & Pharmacology
Register Journal,"Education, Languange, Linguistic, Communication & Media"
Scientific Journal of Informatics,Computer Science & IT
Economica: Jurnal Ekonomi Islam,"Economics, Econometrics & Finance, Social Sciences, Other"
Jurnal Pengolahan Hasil Perikanan Indonesia,"Agriculture, Biological Sciences & Forestry"
Jurnal Riset Pendidikan Matematika,"Decision Sciences, Operations Research & Management , Education, Mathematics"
ETIKONOMI,"Economics, Econometrics & Finance"
Jurnal Teknologi Informasi dan Ilmu Komputer,Computer Science & IT
Jurnal Hortikultura,"Agriculture, Biological Sciences & Forestry"
Jurnal Hukum dan Peradilan,"Law, Crime, Criminology & Criminal Justice"
International Journal of Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Mathematics, Physics, Social Sciences"
Indonesian Journal of Agricultural Science,"Agriculture, Biological Sciences & Forestry"
PRofesi Humas : Jurnal Ilmiah Ilmu Hubungan Masyarakat,"Education, Languange, Linguistic, Communication & Media, Social Sciences"
Jurnal AgroBiogen,"Agriculture, Biological Sciences & Forestry"
INTERNATIONAL RESEARCH JOURNAL OF BUSINESS STUDIES,"Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance, Social Sciences"
Indonesian Journal of Electronics and Instrumentation Systems,Electrical & Electronics Engineering
Udayana Journal of Law and Culture,"Arts, Humanities, Law, Crime, Criminology & Criminal Justice, Social Sciences"
Jurnal Kajian Bimbingan dan Konseling,"Arts, Humanities, Education, Public Health, Social Sciences"
LAW REFORM,"Law, Crime, Criminology & Criminal Justice"
Journal of Education and Learning,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Mathematics, Social Sciences"
Jurnal Penelitian & Pengembangan Pendidikan Fisika,"Education, Physics"
JURNAL GIZI INDONESIA,Health Professions
Khazanah Informatika,Computer Science & IT
BALI MEDICAL JOURNAL (BMJ),Medicine & Pharmacology
JURNAL BIOEDUKATIKA,Education
Ketenagalistrikan dan Energi Terbarukan,"Electrical & Electronics Engineering, Energy"
Jurnal Perempuan,Humanities
Ilmu Dakwah: Academic Journal for Homiletic Studies,"Arts, Humanities"
JURNAL KESEHATAN LINGKUNGAN INDONESIA,"Environmental Science, Public Health"
Binus Business Review,"Economics, Econometrics & Finance"
Jurnal Penelitian Perikanan Indonesia,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
AKRUAL: Jurnal Akuntansi,"Economics, Econometrics & Finance"
