JOURNAL_TITLE,JOURNAL_SUBJECTS
Jurnal Gantang,"Education, Mathematics"
Riau Journal of Empowerment,"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance, Education, Social Sciences"
Tadrib: Jurnal Pendidikan Agama Islam,"Education, Environmental Science, Library & Information Science, Mechanical Engineering, Social Sciences"
CogITo Smart Journal,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Electrical & Electronics Engineering"
Indonesian EFL Journal,Education
PCD Journal,Education
Journal of Nonformal Education,Education
Edukasi,Education
Lentera Pendidikan,Education
IMPROVEMENT: Jurnal Ilmiah untuk peningkatan mutu manajemen pendidikan,"Decision Sciences, Operations Research & Management , Education"
Jurnal Penelitian Pendidikan IPA,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Chemistry, Education, Materials Science & Nanotechnology, Physics"
Jurnal Inovasi Teknologi Pendidikan,Education
Jurnal Akuntabilitas Manajemen Pendidikan,Education
Journal EVALUASI,Education
Unnes Science Education Journal,Education
Jurnal Nasional Pendidikan Teknik Informatika (JANAPATI),"Computer Science & IT, Education, Engineering"
Ta'dibuna: Jurnal Pendidikan Islam,Education
Auladuna,Education
MANAGERIA: Jurnal Manajemen Pendidikan Islam,Education
JOMSIGN: Journal of Multicultural Studies in Guidance and Counseling,Education
Jurnal Pendidikan Ilmu Sosial,"Education, Social Sciences"
Jurnal Psikologi Pendidikan dan Konseling,"Education, Social Sciences"
International Journal of Pedagogy and Teacher Education,"Education, Social Sciences"
Briliant: Jurnal Riset dan Konseptual,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Education"
VOLT : Jurnal Ilmiah Pendidikan Teknik Elektro,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Engineering"
Nidhomul Haq: Jurnal Manajemen Pendidikan Islam,Education
"ETERNAL(english, teaching, learning, and Research Journal)","Education, Languange, Linguistic, Communication & Media"
Prisma Sains : Jurnal Pengkajian Ilmu dan Pembelajaran Matematika dan IPA IKIP Mataram,"Education, Social Sciences"
ALQALAM,"Arts, Humanities, Education, Social Sciences"
FIKROTUNA,Education
